행정구역,총인구수,세대수,세대당 인구,남자 인구수,여자 인구수
전체,9390925,4469374,2.1,4543055,4847870
종로구,139497,72060,1.94,67393,72104
중구,121230,64586,1.88,58631,62599
용산구,214381,108381,1.98,102925,111456
성동구,277701,133178,2.09,134760,142941
광진구,335854,170152,1.97,161430,174424
동대문구,341510,172934,1.97,167556,173954
중랑구,381858,187680,2.03,187262,194596
성북구,426276,197041,2.16,204546,221730
강북구,288735,143796,2.01,139850,148885
도봉구,307070,138161,2.22,148907,158163
노원구,498976,218106,2.29,239508,259468
은평구,466968,215700,2.16,221801,245167
서대문구,306594,146938,2.09,145615,160979
마포구,363862,181058,2.01,170111,193751
양천구,436475,180794,2.41,213092,223383
강서구,563575,274100,2.06,270108,293467
구로구,392967,184188,2.13,192669,200298
금천구,227701,120312,1.89,114552,113149
영등포구,374920,190604,1.97,183803,191117
동작구,379186,186818,2.03,183420,195766
관악구,482692,284786,1.69,242985,239707
서초구,408098,170059,2.4,194526,213572
강남구,541130,238463,2.27,258700,282430
송파구,654845,286016,2.29,314665,340180
강동구,458824,203463,2.26,224240,234584
